CODE	NAME	CONTEXT	SEARCH
IM.5	Relational Databases	Mapping conceptual schema to a relational schema.  Entity and referential integrity.  Relational algebra and relational calculus.  Relational Database design.  Functional dependency.  Decomposition of a schema; lossless-join and dependency-preservation properties of a decomposition.  Candidate keys, superkeys, and closure of a set of attributes.  Normal forms (BCNF).  Multi-valued dependency (4NF).  Join dependency (PJNF, 5NF).  Representation theory	(relational databases db)
IM.6	Query Languages	Overview of database languages.  SQL (data definition, query formulation, update sublanguage, constraints, integrity).  Selections.  Projections.  Select-project-join.  Aggregates and group-by.  Subqueries.  QBE and 4th-generation environments.  Different ways to invoke non-procedural queries in conventional languages.  Introduction to other major query languages (e.g., XPATH, SPARQL).  Stored procedures	(query languages SQL)
IM.7	Transaction Processing	Transactions.  Failure and recovery.  Concurrency control.  Interaction of transaction management with storage, especially buffering	(transaction processing)
IM.8	Distributed Databases	Distributed DBMS. Distributed data storage. Distributed query processing. Distributed transaction model. Homogeneous and heterogeneous solutions. Client-server distributed databases (cross-reference SF/Computational Paradigms).  Parallel DBMS. Parallel DBMS architectures: shared memory, shared disk, shared nothing;. Speedup and scale-up, e.g., use of the MapReduce processing model (cross-reference CN/Processing, PD/Parallel Decomposition). Data replication and weak consistency models	(distrobuted databases)
IM.9	Physical Database Design	Storage and file structure.  Indexed files.  Hashed files.  Signature files.  B-trees.  Files with dense index.  Files with variable length records.  Database efficiency and tuning	(physical database design)
IM.10	Data Mining	Uses of data mining.  Data mining algorithms.  Associative and sequential patterns.  Data clustering.  Market basket analysis.  Data cleaning.  Data visualization (cross-reference GV/Visualization and CN/Interactive Visualization)	(data mining)
IM.11	Information Storage and Retrieval	Documents, electronic publishing, markup, and markup languages.  Tries, inverted files, PAT trees, signature files, indexing.  Morphological analysis, stemming, phrases, stop lists.  Term frequency distributions, uncertainty, fuzziness, weighting.  Vector space, probabilistic, logical, and advanced models.  Information needs, relevance, evaluation, effectiveness.  Thesauri, ontologies, classification and categorization, metadata.  Bibliographic information, bibliometrics, citations.  Routing and (community) filtering.  Multimedia search, information seeking behavior, user modeling, feedback.  Information summarization and visualization.  Faceted search (e.g., using citations, keywords, classification schemes).  Digital libraries.  Digitization, storage, interchange, digital objects, composites, and packages.  Metadata and cataloging.  Naming, repositories, archives.  Archiving and preservation, integrity.  Spaces (conceptual, geographical, 2/3D, VR).  Architectures (agents, buses, wrappers/mediators), interoperability.  Services (searching, linking, browsing, and so forth).  Intellectual property rights management, privacy, and protection (watermarking)	(information storage and retrieval)
IM.12	Multimedia Systems	Input and output devices, device drivers, control signals and protocols, DSPs.  Standards (e.g., audio, graphics, video).  Applications, media editors, authoring systems, and authoring.  Streams/structures, capture/represent/transform, spaces/domains, compression/coding.  Content-based analysis, indexing, and retrieval of audio, images, animation, and video - 120 -.  Presentation, rendering, synchronization, multi-modal integration/interfaces.  Real-time delivery, quality of service (including performance), capacity planning, audio/video conferencing, video-on-demand	(multimedia systems)
IS	Intelligent Systems	Artificial intelligence (AI) is the study of solutions for problems that are difficult or impractical to solve with traditional methods. It is used pervasively in support of everyday applications such as email, word-processing and search, as well as in the design and analysis of autonomous agents that perceive their environment and interact rationally with the environment. The solutions rely on a broad set of general and specialized knowledge representation schemes, problem solving mechanisms and learning techniques. They deal with sensing (e.g., speech recognition, natural language understanding, computer vision), problem-solving (e.g., search, planning), and acting (e.g., robotics) and the architectures needed to support them (e.g., agents, multi-agents). The study of Artificial Intelligence prepares the student to determine when an AI approach is appropriate for a given problem, identify the appropriate representation and reasoning mechanism, and implement and evaluate it.	(intelligent systems ai artificial intelligence)
IS.1	Fundamental Issues	Overview of AI problems, examples of successful recent AI applications.  What is intelligent behavior?. The Turing test. Rational versus non-rational reasoning.  Problem characteristics. Fully versus partially observable. Single versus multi-agent. Deterministic versus stochastic. Static versus dynamic. Discrete versus continuous.  Nature of agents. Autonomous versus semi-autonomous. Reflexive, goal-based, and utility-based. The importance of perception and environmental interactions	(fundamental ai issues)
IS.2	Basic Search Strategies	Problem spaces (states, goals and operators), problem solving by search.  Factored representation (factoring state into variables).  Uninformed search (breadth-first, depth-first, depth-first with iterative deepening).  Heuristics and informed search (hill-climbing, generic best-first, A*).  Space and time efficiency of search.  Two-player games (introduction to minimax search).  Constraint satisfaction (backtracking and local search methods)	(basic search strategies)
IS.3	Basic Knowledge Representation and Reasoning	Review of propositional and predicate logic (cross-reference DS/Basic Logic).  Resolution and theorem proving (propositional logic only).  Forward chaining, backward chaining.  Review of probabilistic reasoning, Bayes theorem (cross-reference with DS/Discrete Probability)	(basic knowledge representation and reasoning)
IS.4	Basic Machine Learning	Definition and examples of broad variety of machine learning tasks, including classification.  Inductive learning.  Simple statistical-based learning, such as Naive Bayesian Classifier, decision trees.  The over-fitting problem.  Measuring classifier accuracy	(basic machine learning ml)
IS.5	Advanced Search	Constructing search trees, dynamic search space, combinatorial explosion of search space.  Stochastic search. Simulated annealing. Genetic algorithms. Monte-Carlo tree search.  Implementation of A* search, beam search.  Minimax search, alpha-beta pruning.  Expectimax search (MDP-solving) and chance nodes	(advanced search)
IS.6	Advanced Representation and Reasoning	Knowledge representation issues. Description logics. Ontology engineering.  Non-monotonic reasoning (e.g., non-classical logics, default reasoning).  Argumentation.  Reasoning about action and change (e.g., situation and event calculus).  Temporal and spatial reasoning.  Rule-based Expert Systems.  Semantic networks.  Model-based and Case-based reasoning.  Planning:. Partial and totally ordered planning. Plan graphs. Hierarchical planning. Planning and execution including conditional planning and continuous planning. Mobile agent/Multi-agent planning	(advanced representation and reasoning)
IS.7	Reasoning Under Uncertainty	Review of basic probability (cross-reference DS/Discrete Probability).  Random variables and probability distributions. Axioms of probability. Probabilistic inference. Bayes’ Rule.  Conditional Independence.  Knowledge representations. Bayesian Networks Exact inference and its complexity Randomized sampling (Monte Carlo) methods (e.g. Gibbs sampling). Markov Networks. Relational probability models. Hidden Markov Models.  Decision Theory. Preferences and utility functions. Maximizing expected utility	(reasoning under uncertainty)
IS.8	Agents	Definitions of agents.  Agent architectures (e.g., reactive, layered, cognitive).  Agent theory.  Rationality, game theory. Decision-theoretic agents. Markov decision processes (MDP).  Software agents, personal assistants, and information access. Collaborative agents. Information-gathering agents. Believable agents (synthetic characters, modeling emotions in agents).  Learning agents.  Multi-agent systems. Collaborating agents. Agent teams. Competitive agents (e.g., auctions, voting). Swarm systems and biologically inspired models	(agents)
IS.9	Natural Language Processing	Deterministic and stochastic grammars.  Parsing algorithms. CFGs and chart parsers (e.g. CYK). Probabilistic CFGs and weighted CYK.  Representing meaning / Semantics. Logic-based knowledge representations. Semantic roles. Temporal representations. Beliefs, desires, and intentions.  Corpus-based methods.  N-grams and HMMs.  Smoothing and backoff - 127 -.  Examples of use: POS tagging and morphology.  Information retrieval (Cross-reference IM/Information Storage and Retrieval). Vector space model TF & IDF. Precision and recall.  Information extraction.  Language translation.  Text classification, categorization. Bag of words model	(natural language processing nlp)
IS.10	Advanced Machine Learning	Definition and examples of broad variety of machine learning tasks.  General statistical-based learning, parameter estimation (maximum likelihood).  Inductive logic programming (ILP).  Supervised learning. Learning decision trees. Learning neural networks. Support vector machines (SVMs).  Ensembles.  Nearest-neighbor algorithms.  Unsupervised Learning and clustering. EM. K-means. Self-organizing maps.  Semi-supervised learning.  Learning graphical models (Cross-reference IS/Reasoning under Uncertainty).  Performance evaluation (such as cross-validation, area under ROC curve).  Learning theory.  The problem of overfitting, the curse of dimensionality.  Reinforcement learning. Exploration vs. exploitation trade-off. Markov decision processes. Value and policy iteration.  Application of Machine Learning algorithms to Data Mining (cross-reference IM/Data Mining)	(advanced machine learning ml)
IS.11	Robotics	Overview: problems and progress. State-of-the-art robot systems, including their sensors and an overview of their sensor processing. Robot control architectures, e.g., deliberative vs. reactive control and Braitenberg vehicles. World modeling and world models. Inherent uncertainty in sensing and in control.  Configuration space and environmental maps.  Interpreting uncertain sensor data.  Localizing and mapping.  Navigation and control.  Motion planning.  Multiple-robot coordination	(robotics)
IS.12	Perception and Computer Vision	Computer vision. Image acquisition, representation, processing and properties. Shape representation, object recognition and segmentation. Motion analysis.  Audio and speech recognition.  Modularity in recognition.  Approaches to pattern recognition (cross-reference IS/Advanced Machine Learning). Classification algorithms and measures of classification quality. Statistical techniques	(perception and computer vision cv)
NC	Networking and Communication	The Internet and computer networks are now ubiquitous and a growing number of computing activities strongly depend on the correct operation of the underlying network. Networks, both fixed and mobile, are a key part of the computing environment of today and tomorrow. Many computing applications that are used today would not be possible without networks. This dependency on the underlying network is likely to increase in the future. The high-level learning objective of this module can be summarized as follows:.  Thinking in a networked world. The world is more and more interconnected and the use of networks will continue to increase. Students must understand how the networks behave and the key principles behind the organization and operation of the networks..  Continued study. The networking domain is rapidly evolving and a first networking course should be a starting point to other more advanced courses on network design, network management, sensor networks, etc..  Principles and practice interact. Networking is real and many of the design choices that involve networks also depend on practical constraints. Students should be exposed to these practical constraints by experimenting with networking, using tools, and writing networked software.	(networking and communication)
NC.1	Introduction	Organization of the Internet (Internet Service Providers, Content Providers, etc.).  Switching techniques (e.g., circuit, packet).  Physical pieces of a network, including hosts, routers, switches, ISPs, wireless, LAN, access point, and firewalls.  Layering principles (encapsulation, multiplexing).  Roles of the different layers (application, transport, network, datalink, physical	(networking intro introduction)
NC.2	Networked Applications	Naming and address schemes (DNS, IP addresses, Uniform Resource Identifiers, etc.).  Distributed applications (client/server, peer-to-peer, cloud, etc.).  HTTP as an application layer protocol.  Multiplexing with TCP and UDP.  Socket APIs	(networked applications)
NC.3	Reliable Data Delivery	Error control (retransmission techniques, timers).  Flow control (acknowledgements, sliding window).  Performance issues (pipelining).  TCP	(reliable data delivery)
NC.4	Routing and Forwarding	Routing versus forwarding.  Static routing.  Internet Protocol (IP).  Scalability issues (hierarchical addressing)	(routing and forwarding)
NC.5	Local Area Networks	Multiple Access Problem.  Common approaches to multiple access (exponential-backoff, time division multiplexing, etc).  Local Area Networks.  Ethernet.  Switching	(local area networks LAN)
NC.6	Resource Allocation	Need for resource allocation.  Fixed allocation (TDM, FDM, WDM) versus dynamic allocation.  End-to-end versus network assisted approaches.  Fairness.  Principles of congestion control.  Approaches to Congestion (e.g., Content Distribution Networks)	(resource allocation)
NC.7	Mobility	Principles of cellular networks.  802.11 networks.  Issues in supporting mobile nodes (home agents)	(mobility mobile network)
NC.8	Social Networking	Social networks overview.  Example social network platforms.  Structure of social network graphs.  Social network analysis	(social networks)
OS	Operating Systems	An operating system defines an abstraction of hardware and manages resource sharing among the computer’s users. The topics in this area explain the most basic knowledge of operating systems in the sense of interfacing an operating system to networks, teaching the difference between the kernel and user modes, and developing key approaches to operating system design and implementation. This knowledge area is structured to be complementary to the Systems Fundamentals (SF), Networking and Communication (NC), Information Assurance and Security (IAS), and the Parallel and Distributed Computing (PD) knowledge areas. The Systems Fundamentals and Information Assurance and Security knowledge areas are the new ones to include contemporary issues. For example, Systems Fundamentals includes topics such as performance, virtualization and isolation, and resource allocation and scheduling; Parallel and Distributed Systems includes parallelism fundamentals; and and Information Assurance and Security includes forensics and security issues in depth. Many courses in Operating Systems will draw material from across these knowledge areas.	(operating systems os)
OS.1	Overview of Operating Systems	Role and purpose of the operating system.  Functionality of a typical operating system.  Mechanisms to support client-server models, hand-held devices.  Design issues (efficiency, robustness, flexibility, portability, security, compatibility).  Influences of security, networking, multimedia, windowing systems	(overview of operating systems)
OS.2	Operating System Principles	Structuring methods (monolithic, layered, modular, micro-kernel models).  Abstractions, processes, and resources.  Concepts of application program interfaces (APIs).  The evolution of hardware/software techniques and application needs.  Device organization.  Interrupts: methods and implementations.  Concept of user/system state and protection, transition to kernel mode	(operating system principles)
OS.3	Concurrency	States and state diagrams (cross-reference SF/State and State Machines).  Structures (ready list, process control blocks, and so forth).  Dispatching and context switching.  The role of interrupts.  Managing atomic access to OS objects.  Implementing synchronization primitives.  Multiprocessor issues (spin-locks, reentrancy) (cross-reference SF/Parallelism)	(concurrency)
OS.4	Scheduling and Dispatch	Preemptive and non-preemptive scheduling (cross-reference SF/Resource Allocation and Scheduling, PD/Parallel Performance).  Schedulers and policies (cross-reference SF/Resource Allocation and Scheduling, PD/Parallel Performance).  Processes and threads (cross-reference SF/Computational paradigms).  Deadlines and real-time issues	(scheduling and dispatch)
OS.5	Memory Management	Review of physical memory and memory management hardware.  Working sets and thrashing.  Caching (cross-reference AR/Memory System Organization and Architecture)	(memory management)
OS.6	Security and Protection	Overview of system security.  Policy/mechanism separation.  Security methods and devices.  Protection, access control, and authentication.  Backups	(os security and protection)
OS.7	Virtual Machines	Types of virtualization (including Hardware/Software, OS, Server, Service, Network).  Paging and virtual memory.  Virtual file systems.  Hypervisors.  Portable virtualization; emulation vs. isolation.  Cost of virtualization	(virtual machines vm vms)
OS.8	Device Management	Characteristics of serial and parallel devices.  Abstracting device differences.  Buffering strategies.  Direct memory access.  Recovery from failures	(device management)
OS.9	File Systems	Files: data, metadata, operations, organization, buffering, sequential, nonsequential.  Directories: contents and structure.  File systems: partitioning, mount/unmount, virtual file systems.  Standard implementation techniques.  Memory-mapped files.  Special-purpose file systems.  Naming, searching, access, backups.  Journaling and log-structured file systems	(file systems)
OS.10	Real Time and Embedded Systems	Process and task scheduling.  Memory/disk management requirements in a real-time environment.  Failures, risks, and recovery.  Special concerns in real-time systems	(real time and embedded systems rt rtos)
OS.11	Fault Tolerance	Fundamental concepts: reliable and available systems (cross-reference SF/Reliability through Redundancy).  Spatial and temporal redundancy (cross-reference SF/Reliability through Redundancy).  Methods used to implement fault tolerance.  Examples of OS mechanisms for detection, recovery, restart to implement fault tolerance, use of these techniques for the OS’s own services	(fault tolerance)
OS.12	System Performance Evaluation	Why system performance needs to be evaluated (cross-reference SF/Performance/Figures of performance merit).  What is to be evaluated (cross-reference SF/Performance/Figures of performance merit).  Systems performance policies, e.g., caching, paging, scheduling, memory management, and security.  Evaluation models: deterministic, analytic, simulation, or implementation-specific.  How to collect evaluation data (profiling and tracing mechanisms)	(os system performance evaluation)
PBD	Platform-Based Development	Platform-based development is concerned with the design and development of software applications that reside on specific software platforms. In contrast to general purpose programming, platform-based development takes into account platform-specific constraints. For instance web programming, multimedia development, mobile computing, app development, and robotics are examples of relevant platforms that provide specific services/APIs/hardware that constrain development. Such platforms are characterized by the use of specialized APIs, distinct delivery/update mechanisms, and being abstracted away from the machine level. Platform-based development may be applied over a wide breadth of ecosystems.	(platform-based development pbd)
PBD.1	Introduction	Overview of platforms (e.g., Web, Mobile, Game, Industrial).  Programming via platform-specific APIs.  Overview of Platform Languages (e.g., Objective C, HTML5).  Programming under platform constraints	(introduction to platform-based development)
PBD.2	Web Platforms	Web programming languages (e.g., HTML5, Java Script, PHP, CSS).  Web platform constraints.  Software as a Service (SaaS).  Web standards	(web platforms)
PBD.3	Mobile Platforms	Mobile programming languages.  Challenges with mobility and wireless communication.  Location-aware applications.  Performance / power tradeoffs.  Mobile platform constraints.  Emerging technologies	(mobile platforms)
PBD.4	Industrial Platforms	Types of Industrial Platforms (e.g., Mathematic, Robotic, Industrial Control).  Robotic software and its architecture.  Domain-specific languages.  Industrial platform constraints	(industrial platforms)
PBD.5	Game Platforms	Types of game platforms (e.g., XBox, Wii, PlayStation).  Game platform languages (e.g., C++, Java, Lua, Python).  Game platform constraints	(game platforms)
PD	Parallel and Distributed Computing	The past decade has brought explosive growth in multiprocessor computing, including multi-core processors and distributed data centers. As a result, parallel and distributed computing has moved from a largely elective topic to become more of a core component of undergraduate computing curricula. Both parallel and distributed computing entail the logically simultaneous execution of multiple processes, whose operations have the potential to interleave in complex ways. Parallel and distributed computing builds on foundations in many areas, including an understanding of fundamental systems concepts such as concurrency and parallel execution, consistency in state/memory manipulation, and latency. Communication and coordination among processes is rooted in the message-passing and shared-memory models of computing and such algorithmic concepts as atomicity, consensus, and conditional waiting. Achieving speedup in practice requires an understanding of parallel algorithms, strategies for problem decomposition, system architecture, detailed implementation strategies, and performance analysis and tuning. Distributed systems highlight the problems of security and fault tolerance, emphasize the maintenance of replicated state, and introduce additional issues that bridge to computer networking.	(parallel and distributed computing)
PD.1	Parallelism Fundamentals	Multiple simultaneous computations.  Goals of parallelism (e.g., throughput) versus concurrency (e.g., controlling access to shared resources).  Parallelism, communication, and coordination. Programming constructs for coordinating multiple simultaneous computations. Need for synchronization.  Programming errors not found in sequential programming. Data races (simultaneous read/write or write/write of shared state). Higher-level races (interleavings violating program intention, undesired non-determinism). Lack of liveness/progress (deadlock, starvation)	(parallelism fundamentals)
PD.2	Parallel Decomposition	Need for communication and coordination/synchronization.  Independence and partitioning	(parallel decomposition)
PD.3	Communication and Coordination	Shared Memory.  Consistency, and its role in programming language guarantees for data-race-free programs	(parallel communication and coordination)
PD.4	Parallel Algorithms, Analysis, and Programming	Critical paths, work and span, and the relation to Amdahl’s law (cross-reference SF/Performance).  Speed-up and scalability.  Naturally (embarrassingly) parallel algorithms.  Parallel algorithmic patterns (divide-and-conquer, map and reduce, master-workers, others). Specific algorithms (e.g., parallel MergeSort)	(parallel algorithms, analysis, and programming)
PD.5	Parallel Architecture	Multicore processors.  Shared vs. distributed memory	(parallel architecture)
PD.6	Parallel Performance	Load balancing.  Performance measurement.  Scheduling and contention (cross-reference OS/Scheduling and Dispatch).  Evaluating communication overhead.  Data management. Non-uniform communication costs due to proximity (cross-reference SF/Proximity). Cache effects (e.g., false sharing). Maintaining spatial locality.  Power usage and management	(parallel performance)
PD.7	Distributed Systems	Faults (cross-reference OS/Fault Tolerance). Network-based (including partitions) and node-based failures. Impact on system-wide guarantees (e.g., availability).  Distributed message sending. Data conversion and transmission. Sockets. Message sequencing. Buffering, retrying, and dropping messages.  Distributed system design tradeoffs. Latency versus throughput. Consistency, availability, partition tolerance.  Distributed service design. Stateful versus stateless protocols and services. Session (connection-based) designs. Reactive (IO-triggered) and multithreaded designs.  Core distributed algorithms. Election, discovery	(distributed systems)
PD.8	Cloud Computing	Internet-Scale computing. Task partitioning (cross-reference PD/Parallel Algorithms, Analysis, and Programming). Data access. Clusters, grids, and meshes.  Cloud services. Infrastructure as a service Elasticity of resources Platform APIs - 154 -. Software as a service. Security. Cost management.  Virtualization (cross-reference SF/Virtualization and Isolation and OS/Virtual Machines). Shared resource management. Migration of processes.  Cloud-based data storage. Shared access to weakly consistent data stores. Data synchronization. Data partitioning. Distributed file systems (cross-reference IM/Distributed Databases). Replication	(cloud computing)
PD.9	Formal Models and Semantics	Formal models of processes and message passing, including algebras such as Communicating Sequential Processes (CSP) and pi-calculus.  Formal models of parallel computation, including the Parallel Random Access Machine (PRAM) and alternatives such as Bulk Synchronous Parallel (BSP).  Formal models of computational dependencies.  Models of (relaxed) shared memory consistency and their relation to programming language specifications.  Algorithmic correctness criteria including linearizability.  Models of algorithmic progress, including non-blocking guarantees and fairness.  Techniques for specifying and checking correctness properties such as atomicity and freedom from data races	(formal models and semantics)
PL	Programming Languages	Programming languages are the medium through which programmers precisely describe concepts, formulate algorithms, and reason about solutions. In the course of a career, a computer scientist will work with many different languages, separately or together. Software developers must understand the programming models underlying different languages and make informed design choices in languages supporting multiple complementary approaches. Computer scientists will often need to learn new languages and programming constructs, and must understand the principles underlying how programming language features are defined, composed, and implemented. The effective use of programming languages, and appreciation of their limitations, also requires a basic knowledge of programming language translation and static program analysis, as well as run-time components such as memory management.	(programming languages)
PL.1	Object-Oriented Programming	Object-oriented design. Decomposition into objects carrying state and having behavior. Class-hierarchy design for modeling.  Definition of classes: fields, methods, and constructors.  Subclasses, inheritance, and method overriding.  Dynamic dispatch: definition of method-call	(object oriented programming oop)
PL.2	Functional Programming	Effect-free programming. Function calls have no side effects, facilitating compositional reasoning. Variables are immutable, preventing unexpected changes to program data by other code. Data can be freely aliased or copied without introducing unintended effects from mutation.  Processing structured data (e.g., trees) via functions with cases for each data variant. Associated language constructs such as discriminated unions and pattern-matching over them. Functions defined over compound data in terms of functions applied to the constituent pieces.  First-class functions (taking, returning, and storing functions)	(functional programming)
PL.3	Event-Driven and Reactive Programming	Events and event handlers.  Canonical uses such as GUIs, mobile devices, robots, servers.  Using a reactive framework. Defining event handlers/listeners. Main event loop not under event-handler-writer’s control.  Externally-generated events and program-generated events.  Separation of model, view, and controller	(event-driven and reactive programming)
PL.4	Basic Type Systems	A type as a set of values together with a set of operations. Primitive types (e.g., numbers, Booleans). Compound types built from other types (e.g., records, unions, arrays, lists, functions, references).  Association of types to variables, arguments, results, and fields.  Type safety and errors caused by using values inconsistently given their intended types.  Goals and limitations of static typing. Eliminating some classes of errors without running the program. Undecidability means static analysis must conservatively approximate program behavior	(basic type systems)
PL.5	Program Representation	Programs that take (other) programs as input such as interpreters, compilers, type-checkers, documentation generators.  Abstract syntax trees; contrast with concrete syntax.  Data structures to represent code for execution, translation, or transmission	(program representation)
PL.6	Language Translation and Execution	Interpretation vs. compilation to native code vs. compilation to portable intermediate representation.  Language translation pipeline: parsing, optional type-checking, translation, linking, execution. Execution as native code or within a virtual machine. Alternatives like dynamic loading and dynamic (or “just-in-time") code generation.  Run-time representation of core language constructs such as objects (method tables) and first-class functions (closures).  Run-time layout of memory: call-stack, heap, static data. Implementing loops, recursion, and tail calls.  Memory management. Manual memory management: allocating, de-allocating, and reusing heap memory. Automated memory management: garbage collection as an automated technique using the notion of reachability	(language translation and execution)
PL.7	Syntax Analysis	Scanning (lexical analysis) using regular expressions.  Parsing strategies including top-down (e.g., recursive descent, Earley parsing, or LL) and bottom-up (e.g., backtracking or LR) techniques; role of context-free grammars.  Generating scanners and parsers from declarative specifications	(syntax analysis)
PL.8	Compiler Semantic Analysis	High-level program representations such as abstract syntax trees.  Scope and binding resolution.  Type checking.  Declarative specifications such as attribute grammars	(compiler semantic analysis)
PL.9	Code Generation	Procedure calls and method dispatching.  Separate compilation; linking.  Instruction selection.  Instruction scheduling.  Register allocation.  Peephole optimization	(code generation)
PL.10	Runtime Systems	Dynamic memory management approaches and techniques: malloc/free, garbage collection (mark-sweep, copying, reference counting), regions (also known as arenas or zones) - 163 -.  Data layout for objects and activation records.  Just-in-time compilation and dynamic recompilation.  Other common features of virtual machines, such as class loading, threads, and security	(runtime systems)
PL.11	Static Analysis	Relevant program representations, such as basic blocks, control-flow graphs, def-use chains, and static single assignment.  Undecidability and consequences for program analysis.  Flow-insensitive analyses, such as type-checking and scalable pointer and alias analyses.  Flow-sensitive analyses, such as forward and backward dataflow analyses.  Path-sensitive analyses, such as software model checking.  Tools and frameworks for defining analyses.  Role of static analysis in program optimization.  Role of static analysis in (partial) verification and bug-finding	(static analysis)
PL.12	Advanced Programming Constructs	Lazy evaluation and infinite streams.  Control Abstractions: Exception Handling, Continuations, Monads.  Object-oriented abstractions: Multiple inheritance, Mixins, Traits, Multimethods - 164 -.  Metaprogramming: Macros, Generative programming, Model-based development.  Module systems.  String manipulation via pattern-matching (regular expressions).  Dynamic code evaluation (“eval").  Language support for checking assertions, invariants, and pre/post-conditions	(advanced programming constructs)
PL.13	Concurrency and Parallelism	Constructs for thread-shared variables and shared-memory synchronization.  Actor models.  Futures.  Language support for data parallelism.  Models for passing messages between sequential processes.  Effect of memory-consistency models on language semantics and correct code generation	(concurrency and parallelism)
PL.14	Type Systems	Compositional type constructors, such as product types (for aggregates), sum types (for unions), function types, quantified types, and recursive types.  Type checking.  Type safety as preservation plus progress.  Type inference.  Static overloading	(type systems, typing)
PL.15	Formal Semantics	Syntax vs. semantics.  Lambda Calculus.  Approaches to semantics: Operational, Denotational, Axiomatic.  Proofs by induction over language semantics.  Formal definitions and proofs for type systems (cross-reference PL/Type Systems).  Parametricity (cross-reference PL/Type Systems).  Using formal semantics for systems modeling	(formal semantics)
PL.16	Language Pragmatics	Principles of language design such as orthogonality.  Evaluation order, precedence, and associativity.  Eager vs. delayed evaluation.  Defining control and iteration constructs.  External calls and system libraries	(language pragmatics)
PL.17	Logic Programming	Clausal representation of data structures and algorithms.  Unification.  Backtracking and search.  Cuts	(logic programming)
SDF	Software Development Fundamentals	Fluency in the process of software development is a prerequisite to the study of most of computer science. In order to use computers to solve problems effectively, students must be competent at reading and writing programs in multiple programming languages. Beyond programming skills, however, they must be able to design and analyze algorithms, select appropriate paradigms, and utilize modern development and testing tools. This knowledge area brings together those fundamental concepts and skills related to the software development process. As such, it provides a foundation for other software-oriented knowledge areas, most notably Programming Languages, Algorithms and Complexity, and Software Engineering. It is important to note that this knowledge area is distinct from the old Programming Fundamentals knowledge area from CC2001. Whereas that knowledge area focused exclusively on the programming skills required in an introductory computer science course, this new knowledge area is intended to fill a much broader purpose. It focuses on the entire software development process, identifying those concepts and skills that should be mastered in the first year of a computer science program. This includes the design and simple analysis of algorithms, fundamental programming concepts and data structures, and basic software development methods and tools. As a result of its broader purpose, the Software Development Fundamentals knowledge area includes fundamental concepts and skills that could naturally be listed in other software-oriented knowledge areas (e.g., programming constructs from Programming Languages, simple algorithm analysis from Algorithms & Complexity, simple development methodologies from Software Engineering). Likewise, each of these knowledge areas will contain more advanced material that builds upon the fundamental concepts and skills listed here.	(software development fundamentals)
SDF.1	Algorithms and Design	The concept and properties of algorithms. Informal comparison of algorithm efficiency (e.g., operation counts).  The role of algorithms in the problem-solving process.  Problem-solving strategies. Iterative and recursive mathematical functions. Iterative and recursive traversal of data structures. Divide-and-conquer strategies.  Fundamental design concepts and principles. Abstraction. Program decomposition. Encapsulation and information hiding. Separation of behavior and implementation	(algorithms and design)
SDF.2	Fundamental Programming Concepts	Basic syntax and semantics of a higher-level language.  Variables and primitive data types (e.g., numbers, characters, Booleans).  Expressions and assignments.  Simple I/O including file I/O.  Conditional and iterative control structures.  Functions and parameter passing.  The concept of recursion	(fundamental programming concepts)
SDF.3	Fundamental Data Structures	Arrays.  Records/structs (heterogeneous aggregates).  Strings and string processing.  Abstract data types and their implementation. Stacks. Queues. Priority queues. Sets. Maps.  References and aliasing.  Linked lists.  Strategies for choosing the appropriate data structure	(fundamental data structures)
SDF.4	Development Methods	Program comprehension.  Program correctness. Types of errors (syntax, logic, run-time). The concept of a specification. Defensive programming (e.g. secure coding, exception handling). Code reviews. Testing fundamentals and test-case generation. The role and the use of contracts, including pre- and post-conditions. Unit testing.  Simple refactoring.  Modern programming environments. Code search. Programming using library components and their APIs.  Debugging strategies.  Documentation and program style	(development methods, dev ops)
SE	Software Engineering	In every computing application domain, professionalism, quality, schedule, and cost are critical to producing software systems. Because of this, the elements of software engineering are applicable to developing software in all areas of computing. A wide variety of software engineering practices have been developed and utilized since the need for a discipline of software engineering was first recognized. Many trade-offs between these different practices have also been identified. Practicing software engineers have to select and apply appropriate techniques and practices to a given development effort in order to maximize value. To learn how to do so, they study the elements of software engineering.	(software engineering se)
SE.1	Software Process	Systems level considerations, i.e., the interaction of software with its intended environment (cross- reference IAS/Secure Software Engineering).  Introduction to software process models (e.g., waterfall, incremental, agile). Activities within software lifecycles.  Programming in the large vs. individual programming	(software process)
SE.2	Software Project Management	Team participation. Team processes including responsibilities for tasks, meeting structure, and work schedule. Roles and responsibilities in a software team. Team conflict resolution. Risks associated with virtual teams (communication, perception, structure).  Effort Estimation (at the personal level).  Risk (cross reference IAS/Secure Software Engineering). The role of risk in the lifecycle. Risk categories including security, safety, market, financial, technology, people, quality, structure and process	(software project management pm)
SE.3	Tools and Environments	Software configuration management and version control.  Release management.  Requirements analysis and design modeling tools.  Testing tools including static and dynamic analysis tools.  Programming environments that automate parts of program construction processes (e.g., automated builds). Continuous integration.  Tool integration concepts and mechanisms	(tools and environments dev tools)
SE.4	Requirements Engineering	Describing functional requirements using, for example, use cases or users stories.  Properties of requirements including consistency, validity, completeness, and feasibility	(requirements engineering)
